,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,00:00:00,2:58:32,4:06:20,2:38:16,5:52:32,2:52:48,1:38:53,5:23:34,2:03:24,2:29:53,5:00:26,6:26:38,6:20:25,2:50:50,2:50:20,3:18:38,3:21:50,2:27:58,2:53:02,2:29:52,2:39:49,4:57:28,2:27:23,2:21:28,5:44:34,2:23:18,2:03:44,1:41:28,3:08:11,11:57:08,11:16:48
KDFW,2:50:51,00:00:00,2:45:29,2:58:37,4:09:25,4:20:20,3:17:13,3:43:23,3:23:59,3:42:52,3:16:11,5:10:58,4:42:40,4:17:44,1:38:32,4:44:00,3:05:32,3:42:36,4:20:01,3:24:13,4:08:05,3:30:20,3:56:10,3:49:55,4:00:09,3:52:43,3:16:13,2:34:58,1:37:57,10:13:07,12:33:31
KDEN,3:55:44,2:38:21,00:00:00,3:10:37,3:15:22,4:52:52,4:12:56,2:41:31,4:41:53,5:04:25,2:37:38,3:38:52,3:30:37,4:49:59,3:06:55,5:10:40,2:41:43,5:03:35,4:52:01,3:43:07,4:43:25,2:03:44,4:34:11,4:28:50,3:14:03,4:32:05,4:36:20,3:27:58,2:54:56,9:12:16,12:24:08
KORD,2:33:26,3:08:45,3:21:17,00:00:00,5:23:16,2:50:03,2:30:32,4:49:54,3:26:48,3:53:26,4:39:04,5:19:47,5:37:59,2:47:10,3:24:32,3:07:37,1:58:53,3:51:19,2:49:07,1:39:57,2:41:26,4:08:12,2:33:37,2:29:04,5:20:09,2:32:17,3:27:44,2:04:11,3:32:05,11:19:38,10:43:14
KLAX,5:39:21,4:00:41,3:08:57,5:09:21,00:00:00,6:50:37,6:02:07,1:40:12,6:14:58,6:32:11,1:58:49,3:28:42,1:59:22,6:47:46,4:18:39,7:09:31,4:40:21,6:32:14,6:49:52,5:41:50,6:40:26,2:25:56,6:30:23,6:24:42,1:22:34,6:27:53,6:06:40,5:16:41,3:59:39,7:15:05,14:13:36
KJFK,3:02:40,4:34:08,5:08:08,2:57:42,7:09:06,00:00:00,2:28:53,6:36:13,3:27:16,3:48:22,6:22:27,7:01:20,7:25:13,1:13:29,4:35:47,1:33:20,3:39:31,3:45:20,1:12:01,2:24:11,1:24:03,5:55:23,1:37:06,1:43:31,7:04:54,1:41:19,3:36:07,3:01:23,4:50:52,13:06:50,9:31:26
KCLT,1:45:26,3:28:11,4:26:24,2:37:19,6:18:25,2:22:29,00:00:00,5:48:07,2:18:17,2:37:35,5:27:27,6:40:44,6:43:13,2:20:43,3:22:44,2:48:22,3:25:15,2:35:00,2:22:51,2:22:55,2:09:37,5:17:22,1:57:28,1:52:00,6:11:26,1:53:20,2:24:00,1:58:06,3:40:01,12:22:38,10:46:13
KLAS,5:11:38,3:35:46,2:36:33,4:37:25,1:44:42,6:19:09,5:33:08,00:00:00,5:50:13,6:08:57,1:42:52,3:16:02,2:10:28,6:16:17,3:56:49,6:37:35,4:07:38,6:08:47,6:18:21,5:09:55,6:09:14,1:55:07,5:59:27,5:53:52,1:47:55,5:57:04,5:42:32,4:47:34,3:38:35,7:45:02,13:42:06
KMCO,2:11:03,3:35:16,4:56:39,3:36:07,6:31:50,3:18:20,2:12:20,6:05:58,00:00:00,1:34:04,5:38:19,7:20:32,7:04:53,3:17:26,3:14:14,3:42:53,4:20:19,1:32:01,3:19:10,3:29:10,3:06:53,5:46:52,2:56:34,2:52:31,6:21:50,2:52:42,1:22:13,2:39:45,3:34:28,12:34:00,11:32:22
KMIA,2:38:44,3:54:59,5:20:12,4:03:56,6:49:50,3:38:32,2:44:41,6:25:34,1:38:18,00:00:00,5:56:09,7:45:12,7:25:04,3:37:58,3:30:11,4:01:55,4:47:56,1:10:22,3:39:30,3:56:24,3:27:56,6:09:41,3:18:36,3:15:10,6:39:01,3:14:57,1:40:05,3:07:16,3:50:17,12:49:16,11:43:44
