,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0.0,178.54,246.34,158.26,352.53,172.8,98.89,323.57,123.4,149.89,300.44,386.63,380.41,170.83,170.34,198.63,201.84,147.96,173.04,149.86,159.82,297.46,147.39,141.47,344.57,143.3,123.73,101.47,188.18,717.14,676.8
KDFW,170.85,0.0,165.48,178.62,249.42,260.33,197.22,223.38,203.99,222.87,196.19,310.97,282.67,257.73,98.54,284.0,185.54,222.6,260.02,204.21,248.08,210.34,236.16,229.92,240.15,232.72,196.22,154.96,97.95,613.12,753.51
KDEN,235.74,158.35,0.0,190.61,195.36,292.87,252.93,161.51,281.88,304.41,157.64,218.86,210.61,289.99,186.92,310.67,161.72,303.59,292.01,223.12,283.42,123.73,274.19,268.84,194.05,272.08,276.34,207.97,174.93,552.27,744.14
KORD,153.44,188.75,201.28,0.0,323.27,170.05,150.54,289.9,206.8,233.43,279.07,319.79,337.99,167.16,204.53,187.61,118.89,231.32,169.12,99.95,161.44,248.2,153.61,149.06,320.15,152.28,207.73,124.18,212.08,679.64,643.23
KLAX,339.35,240.68,188.95,309.35,0.0,410.62,362.12,100.2,374.96,392.18,118.81,208.7,119.37,407.76,258.65,429.52,280.35,392.24,409.86,341.83,400.44,145.93,390.39,384.7,82.57,387.89,366.66,316.68,239.65,435.09,853.6
KJFK,182.67,274.13,308.14,177.7,429.1,0.0,148.89,396.21,207.27,228.37,382.45,421.34,445.21,73.49,275.79,93.33,219.51,225.33,72.02,144.19,84.05,355.38,97.1,103.51,424.9,101.32,216.11,181.39,290.87,786.83,571.44
KCLT,105.43,208.19,266.4,157.32,378.41,142.48,0.0,348.12,138.28,157.59,327.45,400.74,403.21,140.72,202.73,168.36,205.25,155.0,142.85,142.92,129.62,317.37,117.47,112.0,371.43,113.33,144.0,118.1,220.01,742.63,646.22
KLAS,311.64,215.76,156.55,277.41,104.7,379.15,333.13,0.0,350.21,368.95,102.86,196.03,130.46,376.28,236.82,397.58,247.63,368.79,378.35,309.92,369.23,115.12,359.45,353.86,107.91,357.07,342.54,287.56,218.59,465.03,822.1
KMCO,131.05,215.26,296.65,216.11,391.83,198.34,132.33,365.97,0.0,94.07,338.31,440.53,424.89,197.43,194.24,222.89,260.32,92.01,199.16,209.17,186.88,346.87,176.57,172.51,381.84,172.7,82.21,159.75,214.47,754.0,692.37
KMIA,158.73,234.99,320.2,243.94,409.83,218.54,164.68,385.56,98.3,0.0,356.15,465.2,445.06,217.97,210.18,241.92,287.94,70.36,219.5,236.4,207.94,369.68,198.6,195.17,399.01,194.95,100.08,187.26,230.29,769.26,703.73
KPHX,289.5,189.74,152.85,267.06,124.15,365.98,313.35,107.49,323.74,340.81,0.0,230.85,164.83,363.15,207.31,386.32,244.34,340.87,365.32,299.07,355.17,134.48,344.54,338.65,114.61,341.78,315.36,268.26,188.36,487.53,827.43
KSEA,371.98,299.58,211.44,306.02,199.71,403.2,383.48,187.59,421.56,445.17,220.91,0.0,168.8,400.45,327.27,413.51,261.4,444.16,401.98,334.65,397.22,159.67,391.19,387.17,213.08,390.32,416.89,341.68,312.94,452.66,763.01
KSFO,366.03,272.5,203.54,323.43,114.23,426.04,385.84,124.85,406.6,425.89,157.73,161.53,0.0,423.16,294.19,442.41,287.76,425.66,425.11,355.69,417.05,147.21,408.12,402.85,129.36,406.09,399.21,340.4,275.99,412.29,841.61
KEWR,180.61,271.41,305.13,174.68,426.1,70.32,147.05,393.21,206.31,227.77,379.49,418.47,442.2,0.0,273.32,95.25,216.57,224.74,69.74,141.19,82.08,352.37,94.97,101.25,421.92,99.25,215.0,178.8,288.28,783.82,573.42
KIAH,165.0,105.06,197.42,195.72,270.29,263.91,194.0,247.48,185.87,201.13,216.64,342.0,307.42,261.55,0.0,288.9,210.81,201.32,263.84,216.51,251.11,240.25,238.71,232.46,259.31,234.91,176.63,158.49,90.73,630.42,764.39
KBOS,209.66,298.87,326.74,196.06,448.84,97.53,175.94,415.47,232.92,252.81,403.71,432.11,462.32,99.53,301.91,0.0,233.36,249.76,97.22,162.11,111.05,372.18,124.03,130.3,445.45,128.3,242.16,207.04,316.49,803.02,545.61
KMSP,195.15,195.98,171.09,113.77,292.96,210.06,196.41,258.77,249.11,275.54,255.33,273.17,300.71,207.24,220.29,223.31,0.0,273.66,208.92,140.69,203.39,210.74,197.25,193.36,292.49,196.48,248.58,163.82,221.35,640.28,652.85
KFLL,156.7,234.71,319.35,241.73,409.89,215.63,161.98,385.38,96.15,73.53,356.21,464.15,444.81,215.06,210.38,239.0,285.97,0.0,216.6,233.82,205.05,368.98,195.74,192.34,399.18,192.11,98.98,185.34,230.54,769.75,701.01
KLGA,182.91,273.81,307.24,176.73,428.3,68.92,149.28,395.37,208.12,229.38,381.76,420.07,444.24,72.88,275.71,93.04,218.32,226.34,0.0,143.15,84.32,354.38,97.28,103.6,424.16,101.55,216.9,181.2,290.69,785.83,571.2
KDTW,158.69,215.49,235.25,104.45,357.21,137.98,136.76,323.87,200.16,226.22,312.53,349.71,371.69,135.11,226.26,155.13,147.02,223.75,136.98,0.0,130.3,281.76,124.11,120.6,353.93,123.62,203.68,136.59,236.85,713.18,616.87
KPHL,169.1,261.33,298.26,168.7,418.46,80.43,135.45,385.85,195.29,217.29,371.15,415.09,435.82,78.55,262.41,106.27,212.55,214.28,80.68,136.16,0.0,346.28,83.53,89.99,413.89,87.74,203.78,168.28,277.67,777.61,584.42
KSLC,289.9,206.53,123.65,240.76,155.89,343.33,306.95,123.7,335.18,357.01,143.93,170.25,157.23,340.45,233.16,359.41,204.92,356.34,342.37,272.87,334.62,0.0,326.03,320.92,161.14,324.17,329.18,262.15,217.99,498.53,771.86
KBWI,156.11,248.88,288.61,160.53,407.96,92.92,122.76,375.62,184.51,207.54,360.04,408.8,426.48,90.88,249.45,118.69,206.13,204.55,93.09,129.7,79.94,337.3,0.0,77.03,403.03,74.8,192.52,155.6,264.86,768.28,596.86
KIAD,149.93,242.35,283.03,155.77,402.01,99.05,117.04,369.78,180.27,203.95,353.89,404.59,420.98,96.89,242.92,124.69,202.06,200.99,99.14,126.03,86.12,331.97,73.71,0.0,396.96,70.69,187.92,149.05,258.3,762.74,602.83
KSAN,331.73,231.8,187.7,306.37,86.28,406.6,355.44,103.27,365.4,381.82,109.67,222.67,135.18,403.75,248.14,426.27,279.9,381.99,405.89,338.69,396.06,150.95,385.67,379.86,0.0,383.01,356.81,310.25,228.94,443.47,857.5
KDCA,151.84,245.29,286.41,159.13,405.34,96.96,118.43,373.13,180.47,203.72,357.16,407.88,424.37,94.98,245.48,122.77,205.32,200.75,97.18,129.19,83.97,335.36,71.58,73.87,400.25,0.0,188.38,151.89,261.02,766.12,600.94
KTPA,131.38,207.14,290.86,217.08,383.16,206.81,137.8,357.96,78.67,95.77,329.55,435.65,417.18,205.74,184.58,231.73,259.77,94.72,207.56,212.85,195.0,340.59,184.23,179.83,372.86,180.27,0.0,159.12,204.83,744.52,702.82
KBNA,99.1,164.03,219.42,129.77,330.93,173.58,113.01,300.5,152.87,179.2,280.33,357.05,355.71,171.1,165.62,198.13,171.19,177.36,173.4,130.7,161.03,270.55,148.9,142.63,324.21,145.35,152.27,0.0,179.97,695.03,673.66
KAUS,182.08,95.73,184.89,202.95,250.44,278.34,210.54,228.43,205.23,220.38,196.84,327.03,288.41,275.87,86.82,302.86,211.82,220.61,278.17,226.65,265.71,224.4,253.46,247.18,239.24,249.78,196.01,172.22,0.0,610.16,775.94
PHNL,693.76,594.22,535.99,655.87,421.85,758.45,716.15,450.5,727.03,741.64,472.03,438.67,400.03,755.57,608.77,773.94,618.21,742.11,757.49,687.97,749.62,479.31,740.69,735.39,429.87,738.63,717.96,670.6,589.39,0.0,1099.5
LFPG,709.34,789.51,779.72,672.18,892.01,597.15,675.3,859.1,723.53,735.4,864.66,797.35,879.49,599.22,798.78,570.16,682.23,732.56,596.91,644.63,610.72,803.2,623.71,629.96,896.09,627.98,734.45,703.98,810.85,1143.23,0.0
