,KATL,KDFW,KDEN,KORD,KLAX,KJFK,KCLT,KLAS,KMCO,KMIA,KPHX,KSEA,KSFO,KEWR,KIAH,KBOS,KMSP,KFLL,KLGA,KDTW,KPHL,KSLC,KBWI,KIAD,KSAN,KDCA,KTPA,KBNA,KAUS,PHNL,LFPG
KATL,0,614,233,738,1026,1570,218,179,210,482,396,319,606,1570,567,389,287,482,1570,334,482,101,482,482,256,482,249,155,186,78,1010
KDFW,619,0,295,933,1296,1984,275,226,265,609,501,403,766,1984,717,491,363,609,1984,422,609,128,609,609,324,609,314,196,236,98,1277
KDEN,229,288,0,346,481,735,102,84,98,226,186,149,284,735,266,182,135,226,735,157,226,47,226,226,120,226,117,73,87,36,473
KORD,750,940,357,0,1571,2405,333,274,321,738,607,488,929,2405,869,595,440,738,2405,512,738,155,738,738,393,738,381,238,286,119,1548
KLAX,1080,1354,514,1629,0,3463,480,394,463,1063,874,703,1337,3463,1251,857,634,1063,3463,737,1063,223,1063,1063,566,1063,549,343,411,171,2229
KJFK,2237,2806,1065,3374,4688,0,994,817,959,2202,1811,1456,2770,7174,2592,1776,1314,2202,7174,1527,2202,462,2202,2202,1172,2202,1136,710,852,355,4617
KCLT,214,268,102,323,448,686,0,78,92,210,173,139,265,686,248,170,126,210,686,146,210,44,210,210,112,210,109,68,81,34,441
KLAS,175,220,83,264,367,562,78,0,75,172,142,114,217,562,203,139,103,172,562,120,172,36,172,172,92,172,89,56,67,28,362
KMCO,209,263,100,316,439,671,93,76,0,206,169,136,259,671,243,166,123,206,671,143,206,43,206,206,110,206,106,66,80,33,432
KMIA,497,623,237,749,1041,1593,221,181,213,0,402,323,615,1593,576,394,292,489,1593,339,489,102,489,489,260,489,252,158,189,79,1025
KPHX,394,494,188,594,825,1263,175,144,169,388,0,256,488,1263,456,313,231,388,1263,269,388,81,388,388,206,388,200,125,150,63,813
KSEA,315,395,150,475,660,1010,140,115,135,310,255,0,390,1010,365,250,185,310,1010,215,310,65,310,310,165,310,160,100,120,50,650
KSFO,611,766,291,921,1279,1958,271,223,262,601,494,397,0,1958,708,485,359,601,1958,417,601,126,601,601,320,601,310,194,233,97,1260
KEWR,2237,2806,1065,3374,4688,7174,994,817,959,2202,1811,1456,2770,0,2592,1776,1314,2202,7174,1527,2202,462,2202,2202,1172,2202,1136,710,852,355,4617
KIAH,577,723,275,870,1209,1850,256,211,247,568,467,375,714,1850,0,458,339,568,1850,394,568,119,568,568,302,568,293,183,220,92,1190
KBOS,386,484,184,582,809,1238,172,141,165,380,312,251,478,1238,447,0,227,380,1238,263,380,80,380,380,202,380,196,123,147,61,797
KMSP,284,356,135,428,595,910,126,104,122,279,230,185,351,910,329,225,0,279,910,194,279,59,279,279,149,279,144,90,108,45,586
KFLL,497,623,237,749,1041,1593,221,181,213,489,402,323,615,1593,576,394,292,0,1593,339,489,102,489,489,260,489,252,158,189,79,1025
KLGA,2237,2806,1065,3374,4688,7174,994,817,959,2202,1811,1456,2770,7174,2592,1776,1314,2202,0,1527,2202,462,2202,2202,1172,2202,1136,710,852,355,4617
KDTW,331,415,158,499,693,1061,147,121,142,326,268,215,410,1061,383,263,194,326,1061,0,326,68,326,326,173,326,168,105,126,53,683
KPHL,790,991,376,1191,1655,2533,351,288,339,778,640,514,978,2533,915,627,464,778,2533,539,0,163,778,778,414,778,401,251,301,125,1630
KSLC,99,124,47,149,207,316,44,36,42,97,80,64,122,316,114,78,58,97,316,67,97,0,97,97,52,97,50,31,38,16,203
KBWI,530,665,252,799,1111,1700,236,194,227,522,429,345,656,1700,614,421,311,522,1700,362,522,109,0,522,278,522,269,168,202,84,1094
KIAD,530,665,252,799,1111,1700,236,194,227,522,429,345,656,1700,614,421,311,522,1700,362,522,109,522,0,278,522,269,168,202,84,1094
KSAN,270,339,129,407,566,866,120,99,116,266,219,176,334,866,313,214,159,266,866,184,266,56,266,266,0,266,137,86,103,43,557
KDCA,530,665,252,799,1111,1700,236,194,227,522,429,345,656,1700,614,421,311,522,1700,362,522,109,522,522,278,0,269,168,202,84,1094
KTPA,248,311,118,374,520,796,110,91,106,244,201,161,307,796,288,197,146,244,796,169,244,51,244,244,130,244,0,79,95,39,512
KBNA,152,191,72,229,319,488,68,56,65,150,123,99,188,488,176,121,89,150,488,104,150,31,150,150,80,150,77,0,58,24,314
KAUS,190,238,90,286,397,608,84,69,81,187,154,123,235,608,220,151,111,187,608,129,187,39,187,187,99,187,96,60,0,30,391
PHNL,76,95,36,114,159,243,34,28,32,75,61,49,94,243,88,60,44,75,243,52,75,16,75,75,40,75,38,24,29,0,156
LFPG,1045,1310,497,1575,2189,3349,464,381,448,1028,846,680,1293,3349,1210,829,614,1028,3349,713,1028,216,1028,1028,547,1028,531,332,398,166,0
